,child_friendly,continent,country,max_altitude,min_altitude,resort_name,season,ski_pass_price,url,beginner_slopes,intermediate_slopes,difficult_slopes,t-bar_lifts,chairlifts,gondolas,snowpark,night_skiing,snow_cannons,country_iso,altitude_diff,total_slopes,season_start,season_end
86,True,Europe,Andorra,2640.0,1710.0,El Tarter – Pas de la Casa/Grau Roig/Soldeu/Canillo/Encamp (Grandvalira),November - April,47,https://ski-resort-stats.com/el-tarter-pas-de-la-casa%E2%80%8Bgrau-roig%E2%80%8Bsoldeu%E2%80%8Bcanillo%E2%80%8Bencamp-grandvalira,100.0,77.0,33.0,37,28.0,7.0,True,True,1032.0,AND,930.0,210.0,November,April
87,True,Europe,Bulgaria,2560.0,990.0,Bansko,December - April,30,https://ski-resort-stats.com/Bansko,20.0,24.5,3.7,7,8.0,2.0,True,True,380.0,BGR,1570.0,48.2,December,April
88,True,America,USA,3215.0,2600.0,Alta,November - April,82,https://ski-resort-stats.com/Alta,29.0,46.39,40.6,3,7.0,0.0,False,True,,USA,615.0,115.99000000000001,November,April
89,True,America,USA,3418.0,2422.0,Aspen Mountain,November - April,124,https://ski-resort-stats.com/Aspen-Mountain,0.0,49.0,54.0,0,7.0,1.0,False,False,,USA,996.0,103.0,November,April
90,True,America,USA,3559.0,2451.0,Aspen Highlands,December - April,124,https://ski-resort-stats.com/Aspen-Highlands,24.3,40.5,70.2,0,5.0,0.0,False,False,,USA,1108.0,135.0,December,April
91,True,America,USA,2760.0,1890.0,Squaw Valley,November - April,102,https://ski-resort-stats.com/Squaw-valley,25.0,45.0,30.0,6,21.0,2.0,True,True,,USA,870.0,100.0,November,April
92,True,America,USA,3433.0,2457.0,Vail,November - April,127,https://ski-resort-stats.com/Vail,57.0,84.0,93.0,9,20.0,2.0,True,False,,USA,976.0,234.0,November,April
93,True,Europe,Austria,3029.0,1978.0,Kitzsteinhorn - Kaprun,depending on snow conditions - July,50,https://ski-resort-stats.com/kitzsteinhorn-kaprun,13.0,25.0,3.0,5,5.0,7.0,True,False,105.0,AUT,1051.0,41.0,depending on snow conditions,July
94,True,America,USA,2850.0,1950.0,Snowbasin,November - April,85,https://ski-resort-stats.com/Snowbasin,5.0,28.0,15.0,2,6.0,3.0,True,False,400.0,USA,900.0,48.0,November,April
95,True,America,USA,3488.0,2255.0,Beaver Creek,November - April,141,https://ski-resort-stats.com/Beaver-creek,28.5,64.5,57.0,8,13.0,3.0,True,False,,USA,1233.0,150.0,November,April
96,True,Europe,United Kingdom,1070.0,360.0,Glencoe Mountain,December - April,35,https://ski-resort-stats.com/Glencoe-mountain,7.0,10.0,7.3,6,2.0,0.0,False,False,,GBR,710.0,24.3,December,April
97,True,Europe,Austria,3340.0,1350.0,Sölden,September - May,53,https://ski-resort-stats.com/solden,70.2,44.6,29.4,12,16.0,8.0,True,True,363.0,AUT,1990.0,144.20000000000002,September,May
98,True,Europe,Austria,2520.0,1938.0,Kuühtai,November - April,37,https://ski-resort-stats.com/ku%CC%88htai,6.0,26.2,8.8,6,5.0,1.0,True,True,80.0,AUT,582.0,41.0,November,April
99,True,America,USA,3914.0,2926.0,Breckenridge,November - April,140,https://ski-resort-stats.com/Breckenridge,28.0,60.0,65.0,15,18.0,1.0,True,False,,USA,988.0,153.0,November,April
